error,dis_error,x_error,y_error,yaw_error,slam,x_slam,y_slam,yaw_slam,odom,x_odom,y_odom,yaw_odom,
error,0.146334,-0.141084,0.0388462,-0.316693,mcl,-0.141084,0.0387462,-0.316693,odom,0,-0.0001,0,
error,0.146334,-0.141084,0.0388462,-0.316693,mcl,-0.141084,0.0387462,-0.316693,odom,0,-0.0001,0,
error,0.170928,-0.162217,0.0538722,-0.59187,mcl,-0.162217,0.0537722,-0.59187,odom,0,-0.0001,0,
error,0.221164,-0.192589,0.108734,-1.51246,mcl,-0.192589,0.108634,-1.51246,odom,0,-0.0001,0,
error,0.171267,-0.166975,0.0381035,-0.282939,mcl,-0.166975,0.0380035,-0.282939,odom,0,-0.0001,0,
error,0.123471,-0.122651,0.0142049,0.251929,mcl,-0.122651,0.0141049,0.251929,odom,0,-0.0001,0,
error,0.19941,-0.178494,0.088905,-1.07871,mcl,-0.178494,0.088805,-1.07871,odom,0,-0.0001,0,
error,0.196963,-0.19159,0.0456897,-0.431286,mcl,-0.19159,0.0455897,-0.431286,odom,0,-0.0001,0,
error,0.156933,-0.152511,0.0369903,-0.384461,mcl,-0.152511,0.0368903,-0.384461,odom,0,-0.0001,0,
error,0.180908,-0.1672,0.0690786,-0.859693,mcl,-0.1672,0.0689786,-0.859693,odom,0,-0.0001,0,
error,0.160332,-0.156054,0.036789,-0.239552,mcl,-0.156054,0.036689,-0.239552,odom,0,-0.0001,0,
error,0.182997,-0.177945,0.0427027,-0.524451,mcl,-0.177945,0.0426027,-0.524451,odom,0,-0.0001,0,
error,0.186169,-0.181775,0.0402101,-0.284793,mcl,-0.181775,0.0401101,-0.284793,odom,0,-0.0001,0,
error,0.101387,-0.0851191,0.0550815,-0.476159,mcl,-0.0851191,0.0549815,-0.476159,odom,0,-0.0001,0,
error,0.145872,-0.145306,0.0128381,0.134216,mcl,-0.11952,0.0127381,0.134216,odom,0.0257866,-0.0001,0,
error,0.140666,-0.138281,0.0257901,-0.0193099,mcl,-0.0797783,0.0256901,-0.0193099,odom,0.058503,-0.0001,0,
error,0.199764,-0.19784,0.027661,-0.0767448,mcl,-0.0756099,0.027561,-0.0767448,odom,0.12223,-0.0001,0,
error,0.202135,-0.201098,0.0204552,0.0116608,mcl,-0.0260486,0.0203552,0.0116608,odom,0.175049,-0.0001,0,
error,0.163431,-0.159597,0.0351902,-0.188549,mcl,0.0601538,0.0350902,-0.188549,odom,0.219751,-0.0001,0,
error,0.170234,-0.1673,0.0314697,-0.101985,mcl,0.0732297,0.0313697,-0.101985,odom,0.240529,-0.0001,0,
error,0.14583,-0.138596,0.0453622,-0.393511,mcl,0.102089,0.0452622,-0.393511,odom,0.240684,-0.0001,0,
error,0.136869,-0.135077,0.0220782,0.0409392,mcl,0.105607,0.0219782,0.0409392,odom,0.240684,-0.0001,0,
error,0.20503,-0.199102,0.0489444,-0.436183,mcl,0.0415819,0.0488444,-0.436183,odom,0.240684,-0.0001,0,
